epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,530.743,1.4432,1.24152,1.76448,0.96294,0.81034,0.91805,0.4647,1.68991,0.85278,2.40408,0.00183764,0.00183764,0.00183764
43,543.266,1.45377,1.28279,1.77718,0.83338,0.67816,0.76238,0.28405,2.13998,1.5127,2.94296,0.00183368,0.00183368,0.00183368
44,555.635,1.41806,1.23397,1.76007,0.85589,0.79885,0.8646,0.42222,1.71718,1.07024,2.4241,0.00182972,0.00182972,0.00182972
45,568.001,1.39689,1.23159,1.71775,0.8476,0.85057,0.90035,0.44683,1.72556,0.90289,2.39946,0.00182576,0.00182576,0.00182576
46,580.561,1.39339,1.19854,1.72999,0.77262,0.76161,0.76887,0.33298,1.97557,1.02597,2.78887,0.0018218,0.0018218,0.0018218
47,593.037,1.39637,1.18527,1.73034,0.84895,0.87212,0.91594,0.4828,1.69464,0.90537,2.35202,0.00181784,0.00181784,0.00181784
48,605.574,1.41888,1.21028,1.75709,0.87965,0.88213,0.89648,0.47519,1.62589,0.87892,2.34694,0.00181388,0.00181388,0.00181388
49,617.771,1.39327,1.20652,1.73685,0.66618,0.58621,0.61725,0.23522,2.18101,1.82859,3.04969,0.00180992,0.00180992,0.00180992
50,630.063,1.39493,1.17478,1.71962,0.77781,0.6237,0.66359,0.26467,2.23891,1.70833,3.30864,0.00180596,0.00180596,0.00180596
51,642.382,1.39668,1.1994,1.7441,0.81705,0.67241,0.69366,0.28634,2.07358,1.31462,3.04457,0.001802,0.001802,0.001802
52,654.712,1.39942,1.15871,1.72904,0.87711,0.71264,0.75402,0.32307,1.97966,1.19933,2.75142,0.00179804,0.00179804,0.00179804
53,667.216,1.40998,1.17385,1.73805,0.90937,0.80734,0.85764,0.41539,1.75994,0.94517,2.47304,0.00179408,0.00179408,0.00179408
54,679.897,1.39614,1.19903,1.72851,0.82616,0.7931,0.81799,0.3703,1.81238,1.07295,2.48538,0.00179012,0.00179012,0.00179012
55,692.686,1.38273,1.16847,1.70415,0.91342,0.78736,0.90574,0.4652,1.68691,0.92288,2.33229,0.00178616,0.00178616,0.00178616
56,705.356,1.35452,1.11626,1.68855,0.87463,0.81034,0.85777,0.35535,1.98361,0.99337,2.8152,0.0017822,0.0017822,0.0017822
57,717.858,1.34417,1.12792,1.68438,0.87582,0.85632,0.89293,0.45825,1.68481,0.9009,2.36863,0.00177824,0.00177824,0.00177824
58,730.188,1.40258,1.18877,1.71336,0.89755,0.8908,0.92393,0.49462,1.61656,0.83907,2.31001,0.00177428,0.00177428,0.00177428
59,742.675,1.34858,1.11747,1.69341,0.88239,0.83908,0.90085,0.4679,1.66678,0.8591,2.33374,0.00177032,0.00177032,0.00177032
60,754.976,1.38438,1.15906,1.71222,0.82971,0.72989,0.7827,0.3718,1.86313,1.27238,2.5425,0.00176636,0.00176636,0.00176636
61,767.252,1.34744,1.16777,1.69197,0.9107,0.86782,0.93152,0.48136,1.62312,0.8439,2.33604,0.0017624,0.0017624,0.0017624
62,779.758,1.34383,1.11968,1.68411,0.86313,0.7069,0.81038,0.38718,1.84286,1.14009,2.53514,0.00175844,0.00175844,0.00175844
63,792.142,1.35185,1.1285,1.68219,0.7702,0.67241,0.71395,0.31076,2.03628,1.19158,2.89564,0.00175448,0.00175448,0.00175448
64,804.515,1.34073,1.1361,1.68937,0.89278,0.72414,0.8254,0.39642,1.81658,1.01607,2.55856,0.00175052,0.00175052,0.00175052
65,817.066,1.33668,1.14533,1.69804,0.75079,0.63793,0.70313,0.29376,2.10864,1.22457,2.86601,0.00174656,0.00174656,0.00174656
66,829.419,1.3612,1.13631,1.69009,0.84106,0.85156,0.87202,0.42938,1.7281,0.90312,2.46721,0.0017426,0.0017426,0.0017426
67,841.852,1.33754,1.13029,1.69201,0.88673,0.7931,0.82778,0.39054,1.77896,1.02893,2.59535,0.00173864,0.00173864,0.00173864
68,854.164,1.35327,1.12187,1.69178,0.90864,0.86207,0.91997,0.48259,1.68449,0.82212,2.37008,0.00173468,0.00173468,0.00173468
69,866.627,1.34818,1.13796,1.69768,0.84275,0.85057,0.86865,0.42652,1.73173,0.88848,2.42228,0.00173072,0.00173072,0.00173072
70,879.425,1.31534,1.11664,1.67236,0.81018,0.78161,0.79496,0.3699,1.88948,1.27169,2.61332,0.00172676,0.00172676,0.00172676
71,891.935,1.32183,1.06588,1.6679,0.8693,0.80272,0.89061,0.45617,1.66764,0.9452,2.38447,0.0017228,0.0017228,0.0017228
72,904.547,1.30868,1.111,1.65591,0.93641,0.86207,0.92827,0.49862,1.62008,0.81052,2.30489,0.00171884,0.00171884,0.00171884
73,917.011,1.30757,1.10719,1.65354,0.92059,0.86616,0.94517,0.50578,1.58495,0.77779,2.27658,0.00171488,0.00171488,0.00171488
74,929.461,1.29738,1.0863,1.65557,0.92233,0.88724,0.94126,0.50674,1.62034,0.77916,2.29505,0.00171092,0.00171092,0.00171092
75,942.074,1.28102,1.0712,1.63954,0.93384,0.89233,0.94602,0.49249,1.62416,0.71596,2.33513,0.00170696,0.00170696,0.00170696
76,954.439,1.31217,1.09538,1.67189,0.8313,0.81034,0.90364,0.4346,1.77849,0.97448,2.44277,0.001703,0.001703,0.001703
77,966.859,1.33489,1.1022,1.68614,0.86769,0.83333,0.89266,0.44281,1.74502,0.9597,2.45782,0.00169904,0.00169904,0.00169904
78,979.252,1.31204,1.0946,1.65975,0.81068,0.7931,0.85064,0.40523,1.79154,1.05198,2.53012,0.00169508,0.00169508,0.00169508
79,991.738,1.29094,1.05008,1.64735,0.90125,0.87356,0.94187,0.46473,1.7068,0.85652,2.39453,0.00169112,0.00169112,0.00169112
80,1004.28,1.28831,1.01895,1.65171,0.73988,0.83333,0.82929,0.37021,1.91998,1.06637,2.68479,0.00168716,0.00168716,0.00168716
81,1016.86,1.29429,1.07511,1.64664,0.9064,0.81034,0.8622,0.43596,1.71264,0.87879,2.49497,0.0016832,0.0016832,0.0016832
82,1029.29,1.29947,1.0753,1.64388,0.85925,0.91222,0.91981,0.46275,1.6704,0.87691,2.42019,0.00167924,0.00167924,0.00167924
83,1041.81,1.28177,1.08163,1.64065,0.68564,0.56409,0.52751,0.17829,2.42598,1.78266,3.59331,0.00167528,0.00167528,0.00167528
84,1054.04,1.30166,1.11736,1.66481,0.83747,0.71074,0.73535,0.30633,2.03835,1.16327,2.88968,0.00167132,0.00167132,0.00167132
85,1066.31,1.28183,1.04903,1.65013,0.90378,0.91765,0.94836,0.50907,1.59297,0.78313,2.31499,0.00166736,0.00166736,0.00166736
86,1078.9,1.28568,1.1027,1.64598,0.8813,0.78161,0.82968,0.36898,1.83261,0.89934,2.71346,0.0016634,0.0016634,0.0016634
87,1091.43,1.30528,1.08602,1.65708,0.70165,0.60345,0.54439,0.17439,2.4684,1.64454,3.96487,0.00165944,0.00165944,0.00165944
88,1103.94,1.27222,1.05397,1.62863,0.77367,0.66092,0.69523,0.27652,2.16329,1.37423,3.11171,0.00165548,0.00165548,0.00165548
89,1116.48,1.24551,1.04317,1.61433,0.78423,0.72989,0.78409,0.31418,2.07042,1.25984,2.91233,0.00165152,0.00165152,0.00165152
90,1128.78,1.27666,1.05632,1.63399,0.92336,0.82759,0.90415,0.4545,1.66436,0.8288,2.38663,0.00164756,0.00164756,0.00164756
91,1141.2,1.27512,1.05686,1.62709,0.94788,0.86782,0.94158,0.49154,1.55244,0.76178,2.30931,0.0016436,0.0016436,0.0016436
92,1153.67,1.28544,1.03723,1.64982,0.88449,0.88017,0.91709,0.48122,1.62073,0.78156,2.34229,0.00163964,0.00163964,0.00163964
93,1166.07,1.24052,1.04194,1.59862,0.94372,0.8673,0.94061,0.52572,1.54317,0.78299,2.21005,0.00163568,0.00163568,0.00163568
94,1178.51,1.24499,1.02571,1.59019,0.91157,0.83908,0.92175,0.4809,1.64053,0.83123,2.32357,0.00163172,0.00163172,0.00163172
95,1191.07,1.23932,1.01778,1.59854,0.91663,0.91379,0.9338,0.51324,1.58511,0.74922,2.34046,0.00162776,0.00162776,0.00162776
